"NG_TH_CM_ID","NG_TH_ID","TH_CM_ID","CM_ID","TH_ID","NG_ID","Author","Date.and.Time","Full.Text","URL.String","newsgroup","Hour","Date","SentimentScore"
"NG01_TH01420_CM00002","NG01_TH01420","TH01420_CM00002","CM00002","TH01420","NG01","Craig Werner",1986-09-20 22:30:48,"John Miller writes (among other things):
> CBS national news of 18 September 1986 carried a section on AIDS in
> central Africa.
> 
> Discussion, anyone?
> ^^^^^^^^^^  ^^^^^^^ 
> (This is posted to net.legal & net.motss because of the vigorous
Before you even think of following up to this posting, remove all
newsgroups other than net.med from the Newsgroup line. Thank you.
-- 
			      Craig Werner (MD/PhD '91)
				!philabs!aecom!werner
              (1935-14E Eastchester Rd., Bronx NY 10461, 
212-931-2517
)
            ""Reading is sometimes an ingenius device for avoiding thought.""","Zn3ZdR613TEJ","netmed",22,1986-09-21,3
"NG01_TH01411_CM00001","NG01_TH01411","TH01411_CM00001","CM00001","TH01411","NG01","Craig Werner",1986-09-11 00:56:13,"The next posting from me will be the first posting of a regular
summary of AIDS information.  It will be posted monthly or so to three
newsgroups: net.med, net.motss, and net.singles. It will be updated and
revised regularly, and a diff file will accompany it if changes have been
made.
	It will not be posted, as this article is, to net.legal, 
net.rec.nude, or net.rumor.  AIDS articles have appeared in those groups
in the past innapropriately.
	DO NOT followup to this article. Do not followup to the Summary
article. Confine all queries concerning AIDS to net.med with original
postings.
Thank You.
-- 
			      Craig Werner (MD/PhD '91)
				!philabs!aecom!werner
              (1935-14E Eastchester Rd., Bronx NY 10461, 
212-931-2517
)
		     ""I tell you I'm a thief and you call me a liar?""","JZy0UfpGPY0J","netmed",0,1986-09-11,0
"NG01_TH01352_CM00002","NG01_TH01352","TH01352_CM00002","CM00002","TH01352","NG01","Ron Rizzo",1986-02-21 16:10:56,"Sounds like anthropologist Uli's search for the missing link
(to connect weird AIDS with normal heterosexuality) has taken
refuge in ""spurious correlation.""  The geography of African
AIDS is probably coterminous with other blood vectors as well,
ie, presence of human blood in indigenous religious rites, etc.
Medical opinion considers that these vectors may enhance the 
epidemic but believes, on the basis of the evidence so far in 
hand, that the primary vector for African AIDS has been vaginal
intercourse between female prostitutes and their itinerant male
clients.  Anal intercourse is apparently fairly rare in such
encounters (they've interviewed prostitutes and clients).
Recently, some US doctors announced the first corroborated
case of vaginal transmission of AIDS in this country.
					Ron Rizzo","JtL8SQDzbwAJ","netmed",16,1986-02-22,-2
"NG01_TH01352_CM00005","NG01_TH01352","TH01352_CM00005","CM00005","TH01352","NG01","JB",1986-02-24 18:47:09,"
I quote below an excerpt from an article entitled ""Prostitutes: victims
or scapegoats of the AIDS crisis?"" which appeared in the February 20,
1985 issue of _Windy_City_Times_-_Chicago's_Gay_And_Lesbian_Newsweekly_
(reprinted without permission):
     Male to male transmission of AIDS is well documented and because
     of this male prostitutes are a proven high-risk group.  However,
     the jury is still out on female prostitutes.  Female to male
     transmission of AIDS is not so well documented.  A recent medical
     study reported in the _American_Journal_of_Medicine_ said female
     to male transmission of the disease is unlikely and not much of a
     risk.  The Centers for Disease Control in Atlanta said of approxi-
     mately 16,000 AIDS cases, only one percent are heterosexual.  That
     amounts to about 160 people.  The CDC also said that of the 160
     cases, 90 percent are women who have contracted AIDS from men.
     Only 20 men, said the CDC, have contracted AIDS from women, and of
     these 20 cases only one case is thought to have been from a female
     prostitute to a client.
Out of 16 *thousand* cases of AIDS in America, only *20* are confirmed
transmissions from female to male.  If experts in Africa have good
reason to believe ""that the primary vector for African AIDS has been
vaginal intercourse between female prostitutes and their itinerant male
clients"", then clearly something is seriously different between there
and here.  And the various mutilation practices and bloody religious
ceremonies sound worth investigating.
-- 
--JB     ((Just) Beth Christy, U. of Chicago, ..!ihnp4!gargoyle!sphinx!beth)
	 Sylvia says `A real lady never asks: ""Was *what* good for me?"".
			      (""I'm sorry - I wasn't paying attention."")'","212SayAJw0UJ","netmed",18,1986-02-25,-9
"NG01_TH01352_CM00006","NG01_TH01352","TH01352_CM00006","CM00006","TH01352","NG01","Craig Werner",1986-02-27 00:14:07,"> I know this is irrelevent to net.jokes but the original article
> was cross posted there and I consider it my duty as an AIDS volunteer
> to educate...
	The original article was a story about prostitutes in the 1800s having
their virginity surgically restored after each client.  How this could migrate
into a discussion on AIDS transmission in Africa is just one of those
phenomenons of the USENET ... 
-- 
				Craig Werner
				!philabs!aecom!werner
I'll also entertain gifts,knick-knacks,offers of money, & proposals of marriage","TJIgdDXUKc4J","netmed",0,1986-02-27,3
"NG01_TH01352_CM00007","NG01_TH01352","TH01352_CM00007","CM00007","TH01352","NG01","Bob Bickford",1986-02-27 05:39:52,"<BUG?!>
> 
> Motss stands for ""Members of the Same Sex.""
> 
> 
> 		John Thomas Kittredge
   Funny, I was under the distinct impression that it stood for
 ""More Of The Same Shit""
						:-)  :-)
       Robert Bickford     (r...@well.uucp)
================================================
|  I doubt if these are even my own opinions.  |
================================================
-- 
       Robert Bickford     (r...@well.uucp)
================================================
|  I doubt if these are even my own opinions.  |
================================================","FltWb5CB6EYJ","netmed",5,1986-02-27,-1
"NG01_TH01352_CM00011","NG01_TH01352","TH01352_CM00011","CM00011","TH01352","NG01","Ron Rizzo",1986-03-04 09:55:03,"<followup to Beth Christy & others>
Or the apparent lack of female-to-male sexual transmission of AIDS in 
the US may simply be an effect of the virus' long latency and the
particular American subpopulations (gay males, IV drug users) that
AIDS has first reached.  Not long ago, some medical opinion doubted
that male-to-female sexual transmission of AIDS was possible or
very likely.
If semen is a vector, then the (visible) presence of blood isn't 
required for transmission.  Many sexual encounters cause some physical
trauma to tissue, & perhaps (microscopic) hemmorhaging.  The trans-
mission condition for most STDs is contact of mucose membranes.
I don't think many cultures in the rain forests or rift valleys of
central Africa, the possible origin point of AIDS, practice
cliterodectomy.
I still think that anthropologist Uli Linke's conjecture says more
about the psychology (anthropology?) of nervous Western populations
facing AIDS than it does about the disease itself.
						Regards,
						Ron Rizzo","7dj5LArjI_AJ","netmed",9,1986-03-04,-8
"NG01_TH01352_CM00012","NG01_TH01352","TH01352_CM00012","CM00012","TH01352","NG01","pam pincha",1986-03-12 17:04:58,"I just ran across a letter in Science concering theoriginal
letter by Linke (Science,Jan.17,1986). The refuting letter by
Mike Burton (Dept.Anthro.,Univ.ofCal.,Irvine 92717) is in
Science,Mar.14,1986,vol.231,p.1236. I'm posting the letter
for the information of those interested in the speculations
this message has generated. At this point, those not interested
should use the old ""n"" key.
---------------------------------------------------------------
	AIDS AND FEMALE CIRCUMCISION
""	Uli Linke's letter (17 Jan.,p.203) about AIDS in
Africa suggests that contact with blood during intercourse
may be an indirect consequence of the African practice of
female circumcision. It then describes an extreme and rare form
of female circumscription -- infibulation. Infibulation is
found only in a part of northeastern Africa (1), outside the
region where AIDS has been reported,and is very different in
its social and biological effects from the kind of female
circumcision that is practiced more widely in Africa.
	A secondary problem with the logic of hypothesizing
that AIDS is transmitted by traditional custom is that
in Africa it appears to be primarily an urban disease, as
it is in the United States. Traditional customs, such as
female circumcision, have their origins in the rural sector.
I think it would be more productive to look at data pertaining
to life in African cities and to examine such phenomena
as male labor migration, often described as being disurptive to
marriage and family life.""
References:
(1) Hayes,R.O.,1975,American Enthnology,vol.2,p.617.
----------------------------------------------------------------
My personal feeling is that Burton's recomendation for
study is more viable. Linke's hypothesis is too tenuous
for my way of thinking.
P.M.Pincha-Wagener","5by4M51-k4gJ","netmed",17,1986-03-13,3
"NG01_TH01259_CM00001","NG01_TH01259","TH01259_CM00001","CM00001","TH01259","NG01","Rob Bernardo",1986-02-06 10:19:11,"I heard on the local news last night, (the local tv stations here
have been much better on AIDS news than the networks), that Reagan's
proposed '87 budget has $20 million less for AIDS than the current year's
allocation.","tST1h91gw4EJ","netmed",10,1986-02-06,2
"NG01_TH01230_CM00001","NG01_TH01230","TH01230_CM00001","CM00001","TH01230","NG01","Craig Werner",1986-01-28 01:29:51,"The following is [very] excerpted from _Natural History_
	Defn:  Incidence in the number of NEW cases of a disease reported per
unit time.  It differs from Prevalence (cases/population) in that a rare but
long-term disease can have a low incidence but high prevalence, and the
reverse situation is possible.
	Keeping that in mind, consider the following:
	The incidence of AIDS among never-married men (not specifically Gays,
whose number is less easy determine than singles) in San Francisco and New
York is HIGHER than the incidence of Chicken Pox in Children.  (Of course
NYC and SF account for 2/3 of the nation's cases.)
-- 
				Craig Werner
				!philabs!aecom!werner
            ""When I was your age, I always did it for half an hour a day.""","W54v-Pe317AJ","netmed",1,1986-01-28,1
