"Unique_ThreadID","newsgroup","newsgroup_ID","NG_Relative_ThreadID","Thread.Title","URL","Date","Number.of.Messages","Thread_Relevancy"
"NG01_TH01441","netmed","NG01","TH01441","AMA and Smoking Policy (full text)","https://groups.google.com./g/net.med/c/BS2ljt8bnq4",1986-10-26,1,1
"NG01_TH01439","netmed","NG01","TH01439","The subject appears to be ME.","https://groups.google.com./g/net.med/c/xfzjPYILXJg",1986-10-24,2,0.5
"NG01_TH01437","netmed","NG01","TH01437","Caffeine and analgesia","https://groups.google.com./g/net.med/c/-APExpxdUkA",1986-10-22,1,1
"NG01_TH01436","netmed","NG01","TH01436","Medical Puzzle #21","https://groups.google.com./g/net.med/c/HYY-IDbZwoY",1986-10-22,1,1
"NG01_TH01435","netmed","NG01","TH01435","Laryngectomee Rehabilitation: Info request","https://groups.google.com./g/net.med/c/usfzrpYf9ZU",1986-10-18,1,1
"NG01_TH01434","netmed","NG01","TH01434","Aspirin vs. Codine (Codeine!)","https://groups.google.com./g/net.med/c/q_9mrs0cCEs",1986-10-18,1,1
"NG01_TH01433","netmed","NG01","TH01433","Drug Abuse - True Problem or Media Hype?","https://groups.google.com./g/net.med/c/4ZCPX-3Nbk4",1986-10-12,56,0.0357142857142857
"NG01_TH01432","netmed","NG01","TH01432","Loss of I.Q.","https://groups.google.com./g/net.med/c/MiGian0k-Zo",1986-10-10,7,0.428571428571429
"NG01_TH01431","netmed","NG01","TH01431","Selecting the sex...","https://groups.google.com./g/net.med/c/7rtLGke2UaY",1986-10-09,2,0.5
"NG01_TH01429","netmed","NG01","TH01429","matrix of sexually xmited diseases","https://groups.google.com./g/net.med/c/8ncxb9mj34Q",1986-10-07,1,1
"NG01_TH01428","netmed","NG01","TH01428","Drug-Induced Erection","https://groups.google.com./g/net.med/c/qHEMo7Pf9Yo",1986-10-06,4,1
"NG01_TH01424","netmed","NG01","TH01424","Brief History of Drug Use and Control","https://groups.google.com./g/net.med/c/G6YUgOeSyTc",1986-09-29,2,1.5
"NG01_TH01423","netmed","NG01","TH01423","""I did not go in for a Pap Smear"" (POMMAMN2)","https://groups.google.com./g/net.med/c/N6IjAlAFqz8",1986-09-27,1,1
"NG01_TH01421","netmed","NG01","TH01421","4 in 10 doctors uses mind-altering drugs","https://groups.google.com./g/net.med/c/UUgma2CP4X8",1986-09-25,1,1
"NG01_TH01420","netmed","NG01","TH01420","AIDS","https://groups.google.com./g/net.med/c/JVvLCQ24_jc",1986-09-24,3,1.66666666666667
"NG01_TH01411","netmed","NG01","TH01411","AIDS posting","https://groups.google.com./g/net.med/c/x0t_ee4RnlE",1986-09-11,1,1
"NG01_TH01407","netmed","NG01","TH01407","Interesting AIDS fact","https://groups.google.com./g/net.med/c/bHCzTh7InXg",1986-07-30,1,2
"NG01_TH01406","netmed","NG01","TH01406","If sodomy, why not incest?","https://groups.google.com./g/net.med/c/bdzUWqGigc0",1986-07-28,12,0.333333333333333
"NG01_TH01403","netmed","NG01","TH01403","Evolutionary advantage of Excess Brain matter","https://groups.google.com./g/net.med/c/9or8jOUMWJc",1986-05-21,3,1
"NG01_TH01399","netmed","NG01","TH01399","Esoteric Books","https://groups.google.com./g/net.med/c/DUpCgN9eFDc",1986-05-16,5,0.6
"NG01_TH01396","netmed","NG01","TH01396","Creation of *.psi (newsgroup or moderated mailing list)","https://groups.google.com./g/net.med/c/JHN5TCwfIrM",1986-05-11,3,0.666666666666667
"NG01_TH01394","netmed","NG01","TH01394","Drug Disinformation, Ignorance and Prejudice","https://groups.google.com./g/net.med/c/Ko4tD45PGqg",1986-05-08,1,1
"NG01_TH01381","netmed","NG01","TH01381","Need arthroscopic (sp?) info","https://groups.google.com./g/net.med/c/XYBFFbNjsdY",1986-03-23,2,0.5
"NG01_TH01377","netmed","NG01","TH01377","American Medico's experience in India (LONG!)","https://groups.google.com./g/net.med/c/K2cu5QGl1oc",1986-03-21,1,3
"NG01_TH01375","netmed","NG01","TH01375","Alzheimer's disease and alumin(i)um.","https://groups.google.com./g/net.med/c/tJMtDfcc4pM",1986-03-21,1,1
"NG01_TH01369","netmed","NG01","TH01369","What do you go to chiropractors for?","https://groups.google.com./g/net.med/c/Dz4ak_nyvFo",1986-03-20,6,0.166666666666667
"NG01_TH01368","netmed","NG01","TH01368","My opinion of Chiropractors.","https://groups.google.com./g/net.med/c/Zm9yrteQl0s",1986-03-19,12,0.0833333333333333
"NG01_TH01365","netmed","NG01","TH01365","TUMS as calcium supplement???","https://groups.google.com./g/net.med/c/OTup98KkhlE",1986-03-18,3,0.333333333333333
"NG01_TH01359","netmed","NG01","TH01359","The Plan (POMM8)","https://groups.google.com./g/net.med/c/8BewVfvocsw",1986-03-17,1,1
"NG01_TH01354","netmed","NG01","TH01354","More Warnings on eating raw shellfish","https://groups.google.com./g/net.med/c/3n1DvkDCfHk",1986-03-14,1,1
"NG01_TH01352","netmed","NG01","TH01352","AIDS and RE: The worst (hist.) surgical proc.","https://groups.google.com./g/net.med/c/sI1ETPXOpyc",1986-03-12,12,1.91666666666667
"NG01_TH01347","netmed","NG01","TH01347","The Prevalence of Vit. C Deficiency","https://groups.google.com./g/net.med/c/Spx8jicZvpA",1986-03-10,1,1
"NG01_TH01343","netmed","NG01","TH01343","Where are drugs (opiates) legal?","https://groups.google.com./g/net.med/c/wLlh2IORVtI",1986-03-09,25,0.2
"NG01_TH01342","netmed","NG01","TH01342","Answer to Medical Puzzle #11","https://groups.google.com./g/net.med/c/HsUmo9R0_3o",1986-03-08,2,0.5
"NG01_TH01336","netmed","NG01","TH01336","Minor Strokes (was Re: Depiction: What I Really Think)","https://groups.google.com./g/net.med/c/B9ogw0pYLos",1986-03-05,1,1
"NG01_TH01326","netmed","NG01","TH01326","Depression and (oh, no!) vitamins","https://groups.google.com./g/net.med/c/M853UWIMhDo",1986-03-03,7,0.142857142857143
"NG01_TH01324","netmed","NG01","TH01324","question about potassium supplements","https://groups.google.com./g/net.med/c/R9krVI5qdi4",1986-03-01,4,0.5
"NG01_TH01308","netmed","NG01","TH01308","The worst (historical) surgical procedure","https://groups.google.com./g/net.med/c/w2PT9SGgA7Y",1986-02-26,13,0.384615384615385
"NG01_TH01307","netmed","NG01","TH01307","Medical Puzzle #10","https://groups.google.com./g/net.med/c/wRbCCjTuzpM",1986-02-26,3,0.333333333333333
"NG01_TH01305","netmed","NG01","TH01305","Medical Puzzler #8898?","https://groups.google.com./g/net.med/c/QaGfb2HaorY",1986-02-26,1,1
"NG01_TH01304","netmed","NG01","TH01304","contact lens fiasco","https://groups.google.com./g/net.med/c/hzYJwabkEJs",1986-02-25,4,0.5
