"Unique_ThreadID","newsgroup","newsgroup_ID","NG_Relative_ThreadID","Thread.Title","URL","Date","Number.of.Messages"
"NG01_TH01442","netmed","NG01","TH01442","NDEs","https://groups.google.com./g/net.med/c/00f9TwogWOI",1986-10-26,1
"NG01_TH01441","netmed","NG01","TH01441","AMA and Smoking Policy (full text)","https://groups.google.com./g/net.med/c/BS2ljt8bnq4",1986-10-26,1
"NG01_TH01440","netmed","NG01","TH01440","AMA and Smoking Policy (abbreviated version)","https://groups.google.com./g/net.med/c/lGyAUVmOMPA",1986-10-26,1
"NG01_TH01439","netmed","NG01","TH01439","The subject appears to be ME.","https://groups.google.com./g/net.med/c/xfzjPYILXJg",1986-10-24,2
"NG01_TH01438","netmed","NG01","TH01438","Abbreviated Bio","https://groups.google.com./g/net.med/c/n0_kba13lpQ",1986-10-24,1
"NG01_TH01437","netmed","NG01","TH01437","Caffeine and analgesia","https://groups.google.com./g/net.med/c/-APExpxdUkA",1986-10-22,1
"NG01_TH01436","netmed","NG01","TH01436","Medical Puzzle #21","https://groups.google.com./g/net.med/c/HYY-IDbZwoY",1986-10-22,1
"NG01_TH01435","netmed","NG01","TH01435","Laryngectomee Rehabilitation: Info request","https://groups.google.com./g/net.med/c/usfzrpYf9ZU",1986-10-18,1
"NG01_TH01434","netmed","NG01","TH01434","Aspirin vs. Codine (Codeine!)","https://groups.google.com./g/net.med/c/q_9mrs0cCEs",1986-10-18,1
"NG01_TH01433","netmed","NG01","TH01433","Drug Abuse - True Problem or Media Hype?","https://groups.google.com./g/net.med/c/4ZCPX-3Nbk4",1986-10-12,56
"NG01_TH01432","netmed","NG01","TH01432","Loss of I.Q.","https://groups.google.com./g/net.med/c/MiGian0k-Zo",1986-10-10,7
"NG01_TH01431","netmed","NG01","TH01431","Selecting the sex...","https://groups.google.com./g/net.med/c/7rtLGke2UaY",1986-10-09,2
"NG01_TH01430","netmed","NG01","TH01430","The Open Road","https://groups.google.com./g/net.med/c/4dtpvzaYplw",1986-10-08,2
"NG01_TH01429","netmed","NG01","TH01429","matrix of sexually xmited diseases","https://groups.google.com./g/net.med/c/8ncxb9mj34Q",1986-10-07,1
"NG01_TH01428","netmed","NG01","TH01428","Drug-Induced Erection","https://groups.google.com./g/net.med/c/qHEMo7Pf9Yo",1986-10-06,4
