"Unique_ThreadID","newsgroup","newsgroup_ID","NG_Relative_ThreadID","Thread.Title","URL","Date","Number.of.Messages","ThreadRelevancyScore","Quintile"
"NG01_TH01352","netmed","NG01","TH01352","AIDS and RE: The worst (hist.) surgical proc.","https://groups.google.com./g/net.med/c/sI1ETPXOpyc",1986-03-12,12,23,"Q3"
"NG01_TH01157","netmed","NG01","TH01157","AIDS Research - Antiviral Drugs (Query)?","https://groups.google.com./g/net.med/c/zTIyZZtv2fA",1985-12-23,7,18,"Q2"
"NG01_TH01115","netmed","NG01","TH01115","Answer to AIDS questions","https://groups.google.com./g/net.med/c/5cgl9ZU_E2g",1985-12-03,6,12,"Q2"
"NG01_TH01103","netmed","NG01","TH01103","Saving Lives","https://groups.google.com./g/net.med/c/De20yQjf2eQ",1985-11-25,9,18,"Q2"
"NG01_TH01028","netmed","NG01","TH01028","AIDS: beyond high-risk groups","https://groups.google.com./g/net.med/c/0giK_GQ_-XY",1985-10-21,19,37,"Q4"
"NG01_TH01001","netmed","NG01","TH01001","Politics of AIDS, of Foster Care","https://groups.google.com./g/net.med/c/NB_zOSZvP_E",1985-10-03,16,26,"Q3"
"NG01_TH00908","netmed","NG01","TH00908","Viral infections: Modern medicine seems virtually helpless!","https://groups.google.com./g/net.med/c/DlSb64ZfDXk",1985-08-29,28,16,"Q2"
"NG01_TH00773","netmed","NG01","TH00773","The Age of AIDS","https://groups.google.com./g/net.med/c/iNn_68vSslQ",1985-07-07,6,13,"Q2"
"NG01_TH00591","netmed","NG01","TH00591","A Lay question about AIDS?","https://groups.google.com./g/net.med/c/w7JFdB38ZDg",1985-01-29,6,15,"Q2"
"NG01_TH00575","netmed","NG01","TH00575","Test for exposure to AIDS","https://groups.google.com./g/net.med/c/G0h9guZRBWs",1985-01-08,4,16,"Q2"
"NG02_TH01056","netmotss","NG02","TH01056","Antibody testing","https://groups.google.com./g/net.motss/c/nuljxyKHSO0",1986-03-20,6,17,"Q2"
"NG02_TH01046","netmotss","NG02","TH01046","AIDS and RE: The worst (hist.) surgical proc.","https://groups.google.com./g/net.motss/c/sI1ETPXOpyc",1986-03-12,11,20,"Q3"
"NG02_TH01002","netmotss","NG02","TH01002","AIDS virus in prison evaporates basic rights","https://groups.google.com./g/net.motss/c/7l7-IDIk9fI",1986-02-13,6,15,"Q2"
"NG02_TH00986","netmotss","NG02","TH00986","Should book ads disclose sexual slant?","https://groups.google.com./g/net.motss/c/qeaIuukEo40",1986-02-01,20,18,"Q2"
"NG02_TH00940","netmotss","NG02","TH00940","AIDS Research - Antiviral Drugs (Query)?","https://groups.google.com./g/net.motss/c/zTIyZZtv2fA",1985-12-23,7,18,"Q2"
"NG02_TH00926","netmotss","NG02","TH00926","Answer to AIDS questions","https://groups.google.com./g/net.motss/c/5cgl9ZU_E2g",1985-12-03,7,14,"Q2"
"NG02_TH00919","netmotss","NG02","TH00919","Saving Lives","https://groups.google.com./g/net.motss/c/De20yQjf2eQ",1985-11-25,9,18,"Q2"
"NG02_TH00872","netmotss","NG02","TH00872","AIDS: beyond high-risk groups","https://groups.google.com./g/net.motss/c/0giK_GQ_-XY",1985-10-17,20,40,"Q5"
"NG02_TH00860","netmotss","NG02","TH00860","Politics of AIDS, of Foster Care","https://groups.google.com./g/net.motss/c/NB_zOSZvP_E",1985-10-03,16,26,"Q3"
"NG02_TH00832","netmotss","NG02","TH00832","Bisexuality anyone?","https://groups.google.com./g/net.motss/c/tZdoDNSkP0U",1985-09-04,17,16,"Q2"
