ThreadID,Thread Title,URL,Date,Number of Messages
TH01442,NDEs,https://groups.google.com./g/net.med/c/00f9TwogWOI,10/26/86,1
TH01441,AMA and Smoking Policy (full text),https://groups.google.com./g/net.med/c/BS2ljt8bnq4,10/26/86,1
TH01440,AMA and Smoking Policy (abbreviated version),https://groups.google.com./g/net.med/c/lGyAUVmOMPA,10/26/86,1
TH01439,The subject appears to be ME.,https://groups.google.com./g/net.med/c/xfzjPYILXJg,10/24/86,2
TH01438,Abbreviated Bio,https://groups.google.com./g/net.med/c/n0_kba13lpQ,10/24/86,1
TH01437,Caffeine and analgesia,https://groups.google.com./g/net.med/c/-APExpxdUkA,10/22/86,1
TH01436,Medical Puzzle #21,https://groups.google.com./g/net.med/c/HYY-IDbZwoY,10/22/86,1
TH01435,Laryngectomee Rehabilitation: Info request,https://groups.google.com./g/net.med/c/usfzrpYf9ZU,10/18/86,1
TH01434,Aspirin vs. Codine (Codeine!),https://groups.google.com./g/net.med/c/q_9mrs0cCEs,10/18/86,1
TH01433,Drug Abuse - True Problem or Media Hype?,https://groups.google.com./g/net.med/c/4ZCPX-3Nbk4,10/12/86,56
TH01432,Loss of I.Q.,https://groups.google.com./g/net.med/c/MiGian0k-Zo,10/10/86,7
TH01431,Selecting the sex...,https://groups.google.com./g/net.med/c/7rtLGke2UaY,10/9/86,2
TH01430,The Open Road,https://groups.google.com./g/net.med/c/4dtpvzaYplw,10/8/86,2
TH01429,matrix of sexually xmited diseases,https://groups.google.com./g/net.med/c/8ncxb9mj34Q,10/7/86,1
TH01428,Drug-Induced Erection,https://groups.google.com./g/net.med/c/qHEMo7Pf9Yo,10/6/86,4
TH01427,A new call for ignorance,https://groups.google.com./g/net.med/c/igO9rBw0QEQ,10/3/86,2
TH01426,Why Take Drugs?,https://groups.google.com./g/net.med/c/nkSV2oe-Vs0,10/3/86,2
TH01425,hardware/software/peripherals for quadriplegics,https://groups.google.com./g/net.med/c/G1cdLVEK5iU,9/29/86,2
TH01424,Brief History of Drug Use and Control,https://groups.google.com./g/net.med/c/G6YUgOeSyTc,9/29/86,2
TH01423,"""I did not go in for a Pap Smear"" (POMMAMN2)",https://groups.google.com./g/net.med/c/N6IjAlAFqz8,9/27/86,1
TH01422,Fun with Household Ammonia,https://groups.google.com./g/net.med/c/qhXb3WZzxM4,9/25/86,2
TH01421,4 in 10 doctors uses mind-altering drugs,https://groups.google.com./g/net.med/c/UUgma2CP4X8,9/25/86,1
TH01420,AIDS,https://groups.google.com./g/net.med/c/JVvLCQ24_jc,9/24/86,3
