ThreadID,Thread Title,URL,Date,Number of Messages
TH01074,Forwarded anonymous posting,https://groups.google.com./g/net.motss/c/7YD1wcwq_lo,10/16/86,1
TH01073,Forwarded anonymous posting,https://groups.google.com./g/net.motss/c/AFdfOa4TztE,9/20/86,1
TH01072,net.party.eastcoast: the saga continues ...,https://groups.google.com./g/net.motss/c/Ziv3IXy2DNY,9/13/86,1
TH01071,spdcc is sick...,https://groups.google.com./g/net.motss/c/HJc0c99CENo,9/11/86,1
TH01070,AIDS posting,https://groups.google.com./g/net.motss/c/x0t_ee4RnlE,9/11/86,1
TH01069,Bizarre Theory #242: Gay Males and Baldness.,https://groups.google.com./g/net.motss/c/cjGPGMHqccc,9/10/86,1
TH01068,net.party.eastcoast: the saga continues ...,https://groups.google.com./g/net.motss/c/U4_uTtyfgIs,9/5/86,2
TH01067,"TV's of the world, UNITE !!!!",https://groups.google.com./g/net.motss/c/msiIp_pJKOM,8/12/86,1
TH01066,Supreme Court Ruling on Sodomy,https://groups.google.com./g/net.motss/c/wDbTzfey270,8/5/86,9
TH01065,Georgia vs Hardwick,https://groups.google.com./g/net.motss/c/ZruufHhpL14,8/4/86,8
TH01064,The Castro - New Yorker Magazine,https://groups.google.com./g/net.motss/c/x3xzkxdMMgs,7/23/86,1
TH01063,reorganization of soapbox newsgroups,https://groups.google.com./g/net.motss/c/GenqjsryTfA,6/9/86,12
TH01062,A backbone is only as strong as its weakest link.,https://groups.google.com./g/net.motss/c/DrFU8X9zBxs,5/22/86,1
TH01061,Goodbye! (only temporarily),https://groups.google.com./g/net.motss/c/WEbukl6Whk8,5/5/86,1
TH01060,Another Vote For Tan Lines,https://groups.google.com./g/net.motss/c/QRBPUNUPVdY,3/25/86,1
TH01059,Tan Lines...,https://groups.google.com./g/net.motss/c/0oPU_1QJYhE,3/23/86,7
TH01058,"\""The Friends of Mr. Cairo\""",https://groups.google.com./g/net.motss/c/pha-sOlOH4Y,3/21/86,1
TH01057,"""breeders"" - scope",https://groups.google.com./g/net.motss/c/Nk7at80eMIE,3/21/86,3
TH01056,Antibody testing,https://groups.google.com./g/net.motss/c/nuljxyKHSO0,3/20/86,6
TH01055,Homosexual rape in prison,https://groups.google.com./g/net.motss/c/YAahVcTw770,3/20/86,1
TH01054,HTLV-III antibody test,https://groups.google.com./g/net.motss/c/5bi9aorha90,3/19/86,4
TH01053,Trade ya this stereotype for that!,https://groups.google.com./g/net.motss/c/2OfDfEbAQGQ,3/20/86,4
